customer,Arrival t,Service t,service begins,service ends,Idle t,Waiting t in queue,t in system,avg queue,avg idle
770,266.02164646239595,0.01940822903413537,266.02164646239595,266.0410546914301,0.027327838436292495,0.0,0.01940822903413537,0.7000803502383194,0.23815805410379684
771,266.325412842656,0.34449521154328483,266.325412842656,266.6699080541993,0.28435815122594477,0.0,0.34449521154328483,0.7000803502383194,0.23815805410379684
772,266.3407349651642,0.03364816794136042,266.6699080541993,266.70355622214066,0.0,0.3291730890351232,0.36282125697647416,0.7000803502383194,0.23815805410379684
773,266.6103541588457,0.01662328132779323,266.70355622214066,266.72017950346844,0.0,0.09320206329493885,0.10982534462272042,0.7000803502383194,0.23815805410379684
774,266.764932802781,0.6640602430898799,266.764932802781,267.42899304587087,0.04475329931256056,0.0,0.6640602430898799,0.7000803502383194,0.23815805410379684
775,266.79863294353675,0.28119202995711684,267.42899304587087,267.710185075828,0.0,0.630360102334123,0.9115521322912628,0.7000803502383194,0.23815805410379684
776,266.89690887878817,0.6684073703751756,267.710185075828,268.3785924462032,0.0,0.8132761970398406,1.4816835674150184,0.7000803502383194,0.23815805410379684
777,267.06769777825707,0.27368704698229984,268.3785924462032,268.65227949318546,0.0,1.3108946679461155,1.5845817149283903,0.7000803502383194,0.23815805410379684
778,267.0802796325917,0.21658182690471273,268.65227949318546,268.86886132009016,0.0,1.5719998605937349,1.7885816874984357,0.7000803502383194,0.23815805410379684
779,267.61308756085646,0.05110297038021809,268.86886132009016,268.9199642904704,0.0,1.2557737592337048,1.3068767296139185,0.7000803502383194,0.23815805410379684
780,267.9252206329865,0.2620576076759776,268.9199642904704,269.18202189814633,0.0,0.9947436574838662,1.2568012651598224,0.7000803502383194,0.23815805410379684
781,267.9345706527602,0.08232383701123139,269.18202189814633,269.2643457351576,0.0,1.2474512453861166,1.3297750823973615,0.7000803502383194,0.23815805410379684
782,270.3198404375443,0.022564308958452683,270.3198404375443,270.3424047465028,1.0554947023867385,0.0,0.022564308958452683,0.7000803502383194,0.23815805410379684
783,270.3349797005305,0.30412514040827177,270.3424047465028,270.646529886911,0.0,0.007425045972297539,0.31155018638054344,0.7000803502383194,0.23815805410379684
